filepath,relative_part,filename,label,width,height,format,mode,valid,error
../data/raw/Cat/9733.jpg,Cat/9733.jpg,9733.jpg,cat,365,500,JPEG,RGB,True,
../data/raw/Cat/63.jpg,Cat/63.jpg,63.jpg,cat,500,375,JPEG,RGB,True,
../data/raw/Cat/6400.jpg,Cat/6400.jpg,6400.jpg,cat,320,240,JPEG,RGB,True,
../data/raw/Cat/823.jpg,Cat/823.jpg,823.jpg,cat,500,417,JPEG,RGB,True,
../data/raw/Cat/4217.jpg,Cat/4217.jpg,4217.jpg,cat,500,375,JPEG,RGB,True,
../data/raw/Cat/3578.jpg,Cat/3578.jpg,3578.jpg,cat,341,200,JPEG,RGB,True,
../data/raw/Cat/10321.jpg,Cat/10321.jpg,10321.jpg,cat,484,500,JPEG,RGB,True,
../data/raw/Cat/2666.jpg,Cat/2666.jpg,2666.jpg,cat,500,375,JPEG,RGB,True,
../data/raw/Cat/5109.jpg,Cat/5109.jpg,5109.jpg,cat,306,500,JPEG,RGB,True,
../data/raw/Cat/11981.jpg,Cat/11981.jpg,11981.jpg,cat,448,500,JPEG,RGB,True,
../data/raw/Cat/10447.jpg,Cat/10447.jpg,10447.jpg,cat,500,483,JPEG,RGB,True,
../data/raw/Cat/2100.jpg,Cat/2100.jpg,2100.jpg,cat,432,500,JPEG,RGB,True,
../data/raw/Cat/11759.jpg,Cat/11759.jpg,11759.jpg,cat,500,375,JPEG,RGB,True,
../data/raw/Cat/4571.jpg,Cat/4571.jpg,4571.jpg,cat,500,375,JPEG,RGB,True,
../data/raw/Cat/7078.jpg,Cat/7078.jpg,7078.jpg,cat,304,270,JPEG,RGB,True,
../data/raw/Cat/12250.jpg,Cat/12250.jpg,12250.jpg,cat,480,500,JPEG,RGB,True,
../data/raw/Cat/1409.jpg,Cat/1409.jpg,1409.jpg,cat,320,240,JPEG,RGB,True,
../data/raw/Cat/9055.jpg,Cat/9055.jpg,9055.jpg,cat,500,469,JPEG,RGB,True,
../data/raw/Cat/6366.jpg,Cat/6366.jpg,6366.jpg,cat,500,375,JPEG,RGB,True,
../data/raw/Cat/12244.jpg,Cat/12244.jpg,12244.jpg,cat,448,499,JPEG,RGB,True,
../data/raw/Cat/189.jpg,Cat/189.jpg,189.jpg,cat,500,470,JPEG,RGB,True,
../data/raw/Cat/9041.jpg,Cat/9041.jpg,9041.jpg,cat,500,427,JPEG,RGB,True,
../data/raw/Cat/6372.jpg,Cat/6372.jpg,6372.jpg,cat,320,310,JPEG,RGB,True,
../data/raw/Cat/11995.jpg,Cat/11995.jpg,11995.jpg,cat,500,482,JPEG,RGB,True,
../data/raw/Cat/10453.jpg,Cat/10453.jpg,10453.jpg,cat,500,500,JPEG,RGB,True,
../data/raw/Cat/2114.jpg,Cat/2114.jpg,2114.jpg,cat,212,170,JPEG,RGB,True,
../data/raw/Cat/4565.jpg,Cat/4565.jpg,4565.jpg,cat,320,500,JPEG,RGB,True,
../data/raw/Cat/4203.jpg,Cat/4203.jpg,4203.jpg,cat,400,300,JPEG,RGB,True,
../data/raw/Cat/10335.jpg,Cat/10335.jpg,10335.jpg,cat,169,93,JPEG,RGB,True,
../data/raw/Cat/2672.jpg,Cat/2672.jpg,2672.jpg,cat,440,330,JPEG,RGB,True,
../data/raw/Cat/9727.jpg,Cat/9727.jpg,9727.jpg,cat,500,375,JPEG,RGB,True,
../data/raw/Cat/6414.jpg,Cat/6414.jpg,6414.jpg,cat,380,500,JPEG,RGB,True,
../data/raw/Cat/77.jpg,Cat/77.jpg,77.jpg,cat,350,233,JPEG,RGB,True,
../data/raw/Cat/8439.jpg,Cat/8439.jpg,8439.jpg,cat,500,375,JPEG,RGB,True,
../data/raw/Cat/837.jpg,Cat/837.jpg,837.jpg,cat,451,437,JPEG,RGB,True,
../data/raw/Cat/2882.jpg,Cat/2882.jpg,2882.jpg,cat,500,375,JPEG,RGB,True,
../data/raw/Cat/3544.jpg,Cat/3544.jpg,3544.jpg,cat,336,382,JPEG,RGB,True,
../data/raw/Cat/11003.jpg,Cat/11003.jpg,11003.jpg,cat,385,500,JPEG,RGB,True,
../data/raw/Cat/5135.jpg,Cat/5135.jpg,5135.jpg,cat,500,375,JPEG,RGB,True,
../data/raw/Cat/1353.jpg,Cat/1353.jpg,1353.jpg,cat,500,451,JPEG,RGB,True,
